COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,36,89,147,165,167,179,121,87,69,19,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,8,36,75,85,102,138,109,79,49,2,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,28,53,72,80,65,41,12,8,20,17,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,28,70,106,255,110,138,140,151,89,132,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,26,68,103,246,105,132,137,147,79,118,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,3,9,5,6,3,4,10,14,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,"1,127","1,420","1,856","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","1/ Excluding nationals residing abroad.
2/ Including in transit visitors.
3/ Source: Short Term Survey. Arrivals in hotels only. From 2012, the classification used for SBS is NACE Rev. 2."
Arrivals - Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,..,..,"1,062","1,247","1,711","2,191","2,469","3,156","2,857","3,341","3,784","4,070","4,643",
Arrivals - Thousands,3/,THS,41,64,23,22,26,32,34,36,41,34,57,63,67,57,65,74,136,149,118,161,257,..,..,
Tourism expenditure in the country - US$ Mn,,IMF,70,94,34,60,218,398,451,492,537,756,880,"1,057","1,479","1,849","2,012","1,778","1,832","1,624","1,670","1,848","1,613","1,820","2,049",
Travel - US$ Mn,,IMF,65,77,27,54,211,389,446,487,522,735,854,"1,012","1,378","1,714","1,827","1,611","1,631","1,464","1,473","1,699","1,499","1,692","1,942",
Passenger transport - US$ Mn,,IMF,5,17,7,6,7,9,5,5,15,21,26,45,101,135,185,167,201,160,197,149,114,128,107,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,..,..,..,..,..,..,955,"1,303","1,350","1,694","2,097","2,616","2,979","3,716","3,404","3,443","4,120","3,959","3,928","4,146","4,504","4,852","5,186",
Tourism expenditure in other countries - US$ Mn,,IMF,19,25,13,22,35,290,269,386,507,669,808,989,"1,331","1,644","1,691","1,452","1,676","1,374","1,567","1,689","1,310","1,338","1,472",
Travel - US$ Mn,,IMF,7,12,5,5,12,272,257,365,489,642,786,965,"1,268","1,555","1,584","1,360","1,564","1,284","1,479","1,590","1,237","1,262","1,432",
Passenger transport - US$ Mn,,IMF,12,13,8,17,23,18,12,21,18,27,22,24,63,89,107,92,112,90,88,99,73,76,40,
ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,VF,520,605,635,678,749,866,901,988,"1,166","1,234","1,443","1,638","1,743","1,772","1,912","2,070","2,395","2,634","2,733","2,301","1,710","2,039","2,451","1/ Including nationals residing abroad.
2/ 1995-2004: country data."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,477,393,334,473,361,324,300,295,326,316,347,246,172,
Travel - US$ Mn,2/,IMF,32,45,28,74,80,102,100,111,112,178,184,220,219,323,246,220,209,217,250,258,311,209,141,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,293,173,115,150,115,104,91,78,76,58,36,37,31,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,"1,090",874,827,879,903,"1,006","1,190","1,257","1,254","1,417","1,513","1,349","1,499","1,539","1,677","1,757","1,715","1,911","2,136","2,839","3,638","4,530","5,058",
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,660,414,502,613,574,716,595,598,531,679,762,556,632,
Travel - US$ Mn,2/,IMF,186,188,144,269,251,193,194,248,255,341,370,349,376,468,456,601,527,529,471,608,685,474,580,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,290,65,126,145,118,115,68,69,60,71,77,82,52,
AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
