country,latitude,longtitude,arrivals_avg,In_avg_expense,departure_avg,Out_avg_expense
AFGHANISTAN,33.93911,67.709953,0,46.91304348,0,50.47826087
ALBANIA,41.153332,20.168331,3111,1070.478261,2358.782609,844.8695652
ALGERIA,28.033886,1.659626,1530,189.7391304,1819.913043,381
AMERICAN SAMOA,-14.270972,-170.132217,24,0,0,0
ANDORRA,42.546245,1.601554,2101,0,0,0
ANGOLA,-11.202692,17.873887,252,404.8695652,0.260869565,174.9565217
ANGUILLA,18.220554,-63.068615,58,25.08695652,0,10.86956522
ANTIGUA AND BARBUDA,17.060816,-61.796428,240,138.5652174,0,45.47826087
ARGENTINA,-38.416097,-63.616672,4211,4088.913043,5491.391304,4744.73913
ARMENIA,40.069099,45.038189,518,445.3478261,491.5652174,417.0434783
ARUBA,12.52111,-69.968338,807,1133.565217,0,222.0434783
AUSTRALIA,-25.274398,133.775136,7358,22633.26087,5770.043478,15833.56522
AUSTRIA,47.516231,14.550072,21166,9378.608696,7602.391304,9541.826087
AZERBAIJAN,40.143105,47.576927,2356,926.0434783,3480.782609,925.6521739
BAHAMAS,25.03428,-77.39628,1500,1982.086957,0,279.7826087
BAHRAIN,25.930414,50.637772,8764,1623.73913,206.1304348,546.5652174
BANGLADESH,23.684994,90.356331,185,71.7826087,1211.173913,253.9130435
BARBADOS,13.193887,-59.543198,537,736.7391304,0,104.3478261
BELARUS,53.709807,27.953389,2583,524.1304348,726.0434783,546.173913
BELGIUM,50.503887,4.469936,6948,6640.304348,8442.391304,15203.13043
BELIZE,17.189877,-88.49765,242,12.73913043,0,38.7826087
BENIN,9.30769,2.315834,178,118.6956522,0,36.82608696
BERMUDA,32.321384,-64.75737,286,135.9130435,55.91304348,177.2608696
BHUTAN,27.514162,90.433601,54,48.47826087,0,24.65217391
"BOLIVIA, PLURINATIONAL STATE OF",-16.290154,-63.588653,574,369.1304348,530,298.2608696
BONAIRE,12.2019,-68.2624,44,0,0,2.782608696
BOSNIA AND HERZEGOVINA,43.915886,17.679076,317,516.9130435,0,121.6956522
BOTSWANA,-22.328474,24.684866,1234,446.3913043,0,229.0434783
BRAZIL,-14.235004,-51.92528,4932,4152.434783,5331.695652,10308.69565
BRITISH VIRGIN ISLANDS,18.420695,-64.639968,318,336.4347826,50.30434783,0
BRUNEI DARUSSALAM,4.535277,114.727669,559,0,0,310.6956522
BULGARIA,42.733883,25.48583,5065,2871.173913,3883.652174,1033.652174
BURKINA FASO,12.238333,-1.561593,192,68.43478261,0,49.2173913
BURUNDI,-3.373056,29.918886,128,1.256521739,8.130434783,36.86956522
CABO VERDE,16.002082,-24.013197,270,252.826087,0,77.91304348
CAMBODIA,12.565679,104.990963,2064,1420.608696,535.5652174,177.6521739
CAMEROON,7.369722,12.354722,730,276.2608696,0,345.3913043
CANADA,56.130366,-106.346771,17999,14048.17391,24418.13043,21453.04348
CAYMAN ISLANDS,19.513469,-80.566956,330,497.4782609,0,0
CENTRAL AFRICAN REPUBLIC,6.611111,20.939444,32,6.695652174,3.260869565,20.30434783
CHAD,15.454166,18.732207,74,7.782608696,22.43478261,0
CHILE,-35.675147,-71.542969,2690,2166.73913,1760.826087,1209.652174
CHINA,35.86166,104.195397,43876,6321.26087,50107.43478,70081.82609
COLOMBIA,4.570868,-74.297333,3903,2759.73913,2030.043478,2233.73913
COMOROS,-11.875001,43.872219,22,19.30434783,0,5.869565217
CONGO,-0.228021,15.827659,194,28.69565217,14.82608696,135.5652174
"CONGO, DEMOCRATIC REPUBLIC OF THE",-4.038333,21.758664,105,0,38.26086957,76.86956522
COOK ISLANDS,-21.236736,-159.777671,92,97,10.91304348,0
COSTA RICA,9.748917,-83.753428,1735,2143.434783,562.2608696,467.5217391
CÔTE D'IVOIRE,7.539989,-5.54708,352,135.6086957,0,302.3478261
CROATIA,45.1,15.2,8141,6493.956522,1047.521739,798.173913
CUBA,21.521757,-77.781167,2261,2232.130435,209.6086957,0
CURAÇAO,12.1696,-68.99,304,392.8695652,0,133.8695652
